Pos,Team,M,W,D,L,G,GA,PTS
1,Bayern Munich,34,21,8,5,92,38,71
2,Borussia Dortmund,34,22,5,7,83,44,71
3,RasenBallsport Leipzig,34,20,6,8,64,41,66
4,Union Berlin,34,18,8,8,51,38,62
5,Freiburg,34,17,8,9,51,44,59
6,Bayer Leverkusen,34,14,8,12,57,49,50
7,Eintracht Frankfurt,34,13,11,10,58,52,50
8,Wolfsburg,34,13,10,11,57,48,49
9,Mainz 05,34,12,10,12,54,55,46
10,Borussia M.Gladbach,34,11,10,13,52,55,43
11,FC Cologne,34,10,12,12,49,54,42
12,Hoffenheim,34,10,6,18,48,57,36
13,Werder Bremen,34,10,6,18,51,64,36
14,Bochum,34,10,5,19,40,72,35
15,Augsburg,34,9,7,18,42,63,34
16,VfB Stuttgart,34,7,12,15,45,57,33
17,Schalke 04,34,7,10,17,35,71,31
18,Hertha Berlin,34,7,8,19,42,69,29
